Date,GRUMAB,LABB,GCC,IPC,CETES 356 DÍAS,Ren. Port.
09/10/2019,-0.003498755,-0.020136626,-0.013584097,-0.000781277,-0.0061279395,-0.008476734
08/10/2019,-0.000895696,-0.032859396,-0.011456654,-0.009759371,0.0055518473,0.003952098
07/10/2019,-0.002037342,0.010482276,-0.00223684,-0.010758787,0.0055828425,0.002235543
04/10/2019,0.002087096,-0.009960764,-0.005618488,0.02267946,-0.0032764798,-0.001237276
03/10/2019,0.00129405,0.006804475,-0.005587155,0.005206579,0.0048220751,-0.004442256
02/10/2019,-0.00367877,0.003683351,-0.028691066,-0.016774964,-0.0015455954,-0.00179129
01/10/2019,-0.002082054,0.002639168,0.016280367,-0.001724508,0.0110648513,-0.006019509
30/09/2019,-0.008039328,0.027868899,0.009437161,0.003579682,-0.0145337313,-0.003907151
27/09/2019,-0.002796046,0.015886338,-0.00592052,-0.00296292,0.0015402390,0.007505426
26/09/2019,-0.00014691,-0.020765718,-0.01079555,-0.000682059,0.0003854307,0.00153437
25/09/2019,-0.002446026,0.013064965,-0.007600365,-0.001979948,-0.0021180329,-0.003869556
24/09/2019,-0.013298606,-0.013605652,-0.004476747,-0.009436254,0.0071421981,0.002893147
23/09/2019,-0.015975007,0.020202763,-0.002880623,-0.001182992,-0.0038669808,0.008706291
20/09/2019,0.013422973,0.007751922,0.011478788,0.012520552,-0.0078808673,0.009074638
19/09/2019,0.010830722,0.015686653,-0.010178881,-0.001228488,0.0057603846,0.009235336
18/09/2019,-0.01049402,-0.007874113,-0.001021507,-0.008751898,-0.0001925484,0.008471008
17/09/2019,0.016296113,-0.018318581,-0.00176197,0.014080141,0.0034715560,-0.009109976
13/09/2019,0.023550206,0.025063969,0.000370689,0.004000638,-0.0011585249,0.004481035
12/09/2019,0.031892464,-0.000563857,-0.000278013,-0.001844114,-0.0120841597,0.007195917
11/09/2019,0.02464473,0.011908221,0.004736869,0.003774916,0.0111197465,-0.00178951
10/09/2019,0.005311632,0.026591219,0.018700972,-0.001744674,-0.0048081639,0.001652276
09/09/2019,-0.006635118,-0.024306752,-0.020282423,-0.001058717,0.0078975658,0.001574927
06/09/2019,0.007007913,-0.022053425,0.015173121,-0.000557597,-0.0082812221,0.013601064
05/09/2019,0.006681854,0.003361292,0.018766934,0.00957052,0.0090550662,0.017601535
04/09/2019,-0.001928936,-0.010605737,-0.001729439,0.011834052,-0.0080956495,0.00092519
03/09/2019,0.006713878,0.042535474,-0.012591982,-0.006711896,0.0036542016,0.005989486
02/09/2019,-0.005910652,0.027608155,0.004751054,-0.012139063,0.0069605849,-0.004597721
30/08/2019,0.01603914,-0.008303666,0.035778648,0.018737401,-0.0163575282,-0.004486486
29/08/2019,0.015249966,0.014277399,0.045439416,0.021489405,0.0155817330,0.003583399
28/08/2019,0.004987309,0.003601565,-0.002888376,0.00718201,-0.0182504345,-0.005439388
27/08/2019,0.02042842,0.013926898,-0.003393514,0.014053128,0.0030505267,0.004323917
26/08/2019,-0.003848206,0.009804,-0.015685726,0.005495086,0.0173347946,0.00251758
23/08/2019,-0.016191261,0.002466031,0,-0.007053672,-0.0135085034,0.016205918
22/08/2019,0.010278161,0.003710703,0.001314628,0.001700299,0.0065384848,-0.001887811
21/08/2019,-0.012221248,-0.001857073,-0.006656636,0.009426159,-0.0040435214,-0.01676093
20/08/2019,0.010818612,-0.003087313,0.005342007,0.00362698,0.0102366901,0.003937428
19/08/2019,0.005735553,0.036413252,-0.00664793,0.005495093,-0.0180843713,-0.015327632
16/08/2019,0.016488876,0.04111509,0.031615921,0.019647261,0.0258801621,0.003276695
15/08/2019,-0.004461796,-0.003325577,-0.001346073,-0.001965967,-0.0197604260,-0.000193935
14/08/2019,-0.025804248,-0.024919322,-0.028058771,-0.021156459,0.0096376999,0.006357943
13/08/2019,0.004739015,-0.002587324,0.010304423,-0.009447234,-0.0115541436,-1.39E-07
12/08/2019,-0.003347536,-0.071659365,-0.034190436,-0.014203618,-0.0042032924,-0.000687744
09/08/2019,0.011709126,-0.022593173,0.005764752,-0.000448688,0.0155637689,-0.004194214
08/08/2019,-0.003263137,-0.014010737,0.00658711,0.000174659,-0.0128909914,-0.002434753
07/08/2019,0.015681554,-0.018949749,0.012007117,0.016124675,0.0034469586,-0.002588592
06/08/2019,0.004976334,-0.023054156,0.000898786,0.007297264,0.0005756500,-0.001640942
05/08/2019,0.006500838,-0.019813527,-0.004187796,-0.012108785,-0.0036401994,0.004501833
02/08/2019,-0.005582883,-0.00272109,-0.008915377,-0.009194821,0.0158060345,0.000385675
01/08/2019,-0.008003388,0.051293294,-0.014393025,-0.012715102,-0.0092826039,0.006332819
31/07/2019,-0.00494128,-0.011376687,-0.001262887,-0.007221957,-0.0028832312,0.019924024
30/07/2019,0.008249263,-0.010129574,-0.012254691,-0.002848331,0.0030757425,-0.008052608
29/07/2019,0.002573944,0.022651138,0.007895312,0.014713805,-0.0053763570,-0.003873473
26/07/2019,-0.002288194,0.016166577,-0.000483246,-0.006363391,0.0073035112,-0.003199842
25/07/2019,0.00849301,0.002914663,0.013716853,-0.005707817,-0.0113168945,-0.013052951
24/07/2019,0.043883513,-0.019081239,0.032352383,0.005661153,0.0074662929,-0.002945395
23/07/2019,-0.029721894,0.011520808,-0.001213364,-0.006670707,0.0071353113,-0.002285611
22/07/2019,-0.015543691,-0.001736672,0.002732084,-0.009592892,-0.0013538345,0.000743089
19/07/2019,-0.012240668,-0.020607426,0.006812151,-0.00027805,0.0003866229,-0.002516654
18/07/2019,-0.015680838,-0.031235055,-0.023392847,-0.022180631,-0.0065523457,0.000349199
17/07/2019,-0.002906128,0.008271346,-0.010114217,-0.010134466,0.0007686395,-0.000912541
16/07/2019,-0.008169637,0.016187851,-0.00413503,-0.001835711,-0.0167750788,-0.004572173
15/07/2019,-0.005079142,0.041948062,-0.003139113,0.009722035,0.0221721621,-0.004039923
12/07/2019,0.008850006,-0.019181058,-0.013715529,-0.005488446,0.0046493691,-0.001759661
11/07/2019,0.003562123,0.019768084,-0.007890744,0.001783459,-0.0218944793,0.002429427
10/07/2019,0.008750293,0.001175147,-0.013140468,-0.000304838,0.0049514479,-0.000252922
09/07/2019,-0.012439787,-0.02897074,0.004170976,-0.017832625,0.0082431215,0.000136667
08/07/2019,-0.002370447,-0.015864412,-0.008230486,0.004224596,0.0079235123,0.004165156
05/07/2019,-0.001870364,-0.012290601,-0.001223994,-0.001293018,0.0009705912,0.000986458
04/07/2019,0.001925365,0.023028257,0.000752993,-0.000500318,-0.0279604580,0.000283734
03/07/2019,-0.001925365,0.009706043,-0.00150557,0.000953228,0.0108232330,-0.002047695
02/07/2019,0.001374956,-0.001146846,-0.000657968,8.20096E-05,0.0059358719,-0.00106936
01/07/2019,0.008677681,0.001720735,0.005748507,0.006398828,0.0024997609,0.004451718
28/06/2019,-0.003214588,0.010966921,0.004167035,-0.003593686,-0.0017312691,-0.003530181
27/06/2019,-0.002431574,0.012850644,0.000189836,-0.010917959,0.0009614461,0.00089956
26/06/2019,-0.000331307,-0.001762174,-0.006811135,-2.1408E-06,0.0055946900,0.000941091
25/06/2019,-0.003140339,0.008841909,-0.003012352,0.001107046,0.0031001769,0.004775586
24/06/2019,0.009339818,0.000592242,0.006412158,0.004972788,-0.0090795562,0.000392951
21/06/2019,-0.001220711,-0.013533716,-0.008196444,-0.002715991,-0.0074720148,0.004974659
20/06/2019,-0.000166442,0.016500138,-0.000937819,0.006192506,0.0024844733,-0.015610769
19/06/2019,0.002442857,0.007754229,-0.001217811,0.004960242,0.0009572127,-0.004488344
18/06/2019,0.000444635,0.018127445,0.01243542,0.004559383,0.0023010557,0.001344892
17/06/2019,-0.001611265,0.021572548,-0.002650751,-0.003854742,0.0007681967,0.001071804
14/06/2019,0.012626473,0.010018807,0.002271619,-0.008140794,0.0034642067,0.000179904
13/06/2019,-0.038493864,-0.011886283,-0.013646676,-0.007262835,-0.0026954194,0.002385847
12/06/2019,-0.010761933,-0.019095068,0,0.001976831,0.0036598327,-0.006199078
11/06/2019,0.001285145,0.02408261,-0.00289356,0.00239315,0.0050299971,0.000844862
10/06/2019,-0.007581065,-0.010568951,0.015025181,0.007315152,-0.0075355395,0.003432812
07/06/2019,-0.003980821,-0.000618238,0.005122409,0.003320258,0.0025055424,-0.000916825
06/06/2019,0.003183456,-0.001235392,0.00581814,-0.006296808,0.0060002116,0.009670586
05/06/2019,-0.008203431,-0.00061697,-0.014152303,0.004120801,-0.0060002116,
04/06/2019,0.0024804,-0.00307983,0.001321214,0.003089709,0.0027053157,
03/06/2019,0.01244163,-0.014652277,0.003405596,0.008368831,0.0021307514,
31/05/2019,0.000321137,-0.011449417,-0.000663079,-0.013860732,-0.0021307514,
30/05/2019,0.02629941,0.024258314,0.001231764,0.011393791,-0.0054033323,
